NGC         RA           DE           MAG          X Y
554         01 27 09.6  -22 43 32     13.6      0.90 0.5
554A        01 27 09.5  -22 43 25     13.8      0.30 0.3
555         01 27 11.7  -22 45 42     14.1      0.70 0.6
556         01 27 12.5  -22 41 50     14.5      0.40 0.3
557         01 26 25.1  -01 38 18     13.5      1.80 0.6
558         01 27 16.1  -01 58 14     14.3      0.40 0.2
560         01 27 25.3  -01 54 45     13.0      1.90 0.6
561         01 28 18.7  +34 18 30     12.9      1.60 1.5
562         01 28 29.3  +48 23 13     13.3      1.30 1.1
563         01 25 21.7  -18 09 52     13.5      1.60 1.3
564         01 27 48.2  -01 52 43     12.5      1.30 1.1
565         01 28 10.0  -01 18 21     13.5      1.30 0.4
566         01 29 02.9  +32 19 56     13.5      1.60 0.4
567         01 27 02.3  -10 15 53     14.2      1.00 0.6
568         01 27 56.9  -35 43 03     12.6      2.20 1.3
569         01 29 07.1  +11 07 54     13.7      1.00 0.5
570         01 28 58.5  -00 56 55     12.8      1.60 1.3
571         01 29 56.1  +32 30 03     13.7      1.30 1.3
572         01 28 36.4  -39 18 26     14.0      0.80 0.7
573         01 30 49.3  +41 15 26     13.2      0.40 0.4
574         01 29 03.1  -35 35 55     13.3      1.10 0.7
575         01 30 46.4  +21 26 25     12.8      1.70 1.6
576         01 28 57.4  -51 35 53     13.4      1.00 0.8
577         01 30 40.6  -01 59 39     12.9      1.90 1.5
578         01 30 28.9  -22 40 00     10.9      4.80 3.0
579         01 31 46.7  +33 36 52     13.3      1.50 1.3
580         01 30 40.6  -01 59 39     12.9      1.90 1.5
582         01 31 58.2  +33 28 32     13.2      2.20 0.6
583         01 29 44.1  -18 20 22     14.2      0.70 0.6
584         01 31 20.5  -06 52 02     10.5      4.10 2.0
585         01 31 42.2  -00 55 58     13.1      2.20 0.5
586         01 31 36.8  -06 53 35     13.2      1.70 0.9
587         01 32 33.3  +35 21 30     12.8      2.20 0.8
589         01 32 39.9  -12 02 32     14.1      1.10 0.9
590         01 33 40.7  +44 55 45     13.0      2.60 1.3
591         01 33 31.1  +35 40 06     12.9      1.30 1.0
593         01 32 20.6  -12 21 16     14.6      1.20 0.2
594         01 32 57.0  -16 32 07     13.5      1.40 0.6
596         01 32 52.0  -07 01 55     10.9      3.20 2.0
597         01 32 14.9  -33 29 49     13.2      1.40 1.3
598         01 33 51.9  +30 39 29      5.7      68.70 41.6
599         01 32 53.7  -12 11 27     13.4      1.40 1.3
600         01 33 05.4  -07 18 44     12.4      2.80 2.1
601         01 33 06.5  -12 12 30     15.1      0.40 0.4
605         01 35 02.3  +41 14 52     12.9      2.20 1.1
606         01 34 50.3  +21 25 05     13.4      1.40 1.2
608         01 35 28.1  +33 39 23     13.3      1.90 1.5
612         01 33 57.7  -36 29 35     12.9      1.50 0.9
613         01 34 18.4  -29 25 07     10.1      5.50 4.2
614         01 35 52.2  +33 40 55     12.7      1.40 1.4
615         01 35 05.7  -07 20 25     11.6      2.70 0.9
617         01 34 02.5  -09 46 25     14.5      0.50 0.5
619         01 34 51.7  -36 29 22     13.3      1.50 1.0
620         01 36 59.6  +42 19 22     12.9      1.00 0.9
621         01 36 48.9  +35 30 45     12.7      1.20 1.0
622         01 36 00.1  +00 39 49     12.9      1.60 1.0
623         01 35 06.5  -36 29 24     12.5      2.00 1.5
624         01 35 51.2  -10 00 11     13.3      1.50 1.0
625         01 35 04.4  -41 26 15     11.2      5.80 1.9
626         01 35 11.9  -39 08 46     12.7      2.20 1.7
628         01 36 41.7  +15 47 00      9.4      10.50 9.5
630         01 35 36.6  -39 21 28     11.9      1.60 1.4
631         01 36 47.0  +05 50 09     13.3      1.00 0.8
632         01 37 17.5  +05 52 38     12.4      1.00 0.8
633         01 36 23.3  -37 19 15     12.8      1.40 1.2
634         01 38 18.6  +35 21 53     13.0      2.10 0.6
635         01 38 17.9  -22 55 44     14.6      0.50 0.5
636         01 39 06.5  -07 30 44     11.5      2.80 2.0
638         01 39 37.8  +07 14 14     13.8      0.80 0.5
639         01 38 59.1  -29 55 30     14.1      1.00 0.2
640         01 39 24.9  -09 24 04     14.4      0.70 0.5
641         01 38 39.0  -42 31 39     12.1      1.40 1.3
642         01 39 06.2  -29 54 55     12.3      2.00 1.1
643B        01 39 13.4  -75 00 41     13.5      1.50 0.3
643C        01 41 48.9  -75 16 03     15.0      1.30 0.2
644         01 38 52.8  -42 35 08     14.0      1.30 0.6
645         01 40 08.8  +05 43 34     12.6      2.60 1.2
646-1       01 37 21.1  -64 53 43     13.5      2.00 1.5
646-2       01 37 30.0  -64 53 45     15.0      0.40 0.4
647         01 39 56.1  -09 14 31     13.4      1.50 1.1
648         01 38 39.8  -17 49 52     14.4      0.70 0.4
649         01 40 07.5  -09 16 18     14.3      0.90 0.3
652         01 40 43.2  +07 59 00     13.7      1.00 0.6
653         01 42 25.6  +35 38 19     13.5      1.50 0.2
655         01 41 55.1  -13 04 57     14.0      1.40 0.9
656         01 42 27.3  +26 08 36     12.4      1.50 1.3
658         01 42 09.8  +12 36 05     12.5      3.00 1.6
660         01 43 01.8  +13 38 37     11.2      8.30 3.2
661         01 44 14.6  +28 42 24     12.2      1.60 1.3
662         01 44 35.5  +37 41 47     13.0      0.80 0.5
664         01 43 45.9  +04 13 21     12.8      1.10 0.9
665         01 44 56.0  +10 25 23     12.2      2.40 1.6
666         01 46 06.0  +34 22 29     13.4      0.70 0.5
667         01 44 56.6  -22 55 09     14.3      0.60 0.5
668         01 46 22.6  +36 27 36     13.1      1.80 1.2
669         01 47 16.0  +35 33 47     12.3      3.10 0.6
670         01 47 24.9  +27 53 10     12.7      2.10 0.9
671         01 46 59.1  +13 07 31     13.3      1.50 0.5
672         01 47 54.0  +27 25 58     10.9      6.00 2.4
673         01 48 22.4  +11 31 17     12.6      2.10 1.7
674         01 51 17.5  +22 21 27     12.0      4.00 1.3
675         01 49 08.5  +13 03 35     14.4      1.00 0.4
676         01 48 57.2  +05 54 22     11.9      4.00 1.0
677         01 49 14.0  +13 03 21     12.2      2.00 2.0
678         01 49 24.8  +21 59 49     12.2      4.50 0.8
679         01 49 43.7  +35 47 10     12.3      1.90 1.9
680         01 49 47.3  +21 58 16     11.9      1.80 1.6
681         01 49 10.8  -10 25 38     12.0      2.70 1.8
682         01 49 04.4  -14 58 28     13.4      1.40 1.1
683         01 49 46.6  +11 42 07     13.6      1.00 1.0
684         01 50 14.1  +27 38 46     12.4      3.20 0.6
685         01 47 42.8  -52 45 43     11.0      3.60 3.1
686         01 48 56.0  -23 47 53     12.2      1.70 1.4
687         01 50 33.2  +36 22 15     12.3      1.40 1.4
688         01 50 44.1  +35 17 05     12.7      2.40 1.5
689         01 49 51.5  -27 27 59     13.5      1.00 0.6
690         01 47 48.0  -16 43 17     14.2      1.20 0.8
691         01 50 41.7  +21 45 37     11.4      3.40 2.5
692         01 48 42.2  -48 38 53     12.3      2.10 1.8
693         01 50 30.9  +06 08 41     12.4      2.20 1.1
694         01 50 58.4  +21 59 49     13.7      0.60 0.4
695         01 51 14.2  +22 34 58     12.8      0.80 0.7
696         01 49 31.2  -34 54 18     13.2      1.70 0.6
697         01 51 17.5  +22 21 27     12.0      4.00 1.3
698         01 49 43.6  -34 49 53     14.0      0.90 0.8
699         01 50 43.6  -12 02 08     14.1      1.60 0.3
700         01 52 16.8  +36 02 12     14.6      0.80 0.7
701         01 51 03.8  -09 42 12     12.2      2.60 1.4
702         01 51 19.2  -04 03 20     13.1      1.20 0.8
703         01 52 39.6  +36 10 20     13.3      0.90 0.7
704-1       01 52 37.7  +36 07 37     12.8      0.60 0.4
704-2       01 52 38.0  +36 07 28     14.6      0.40 0.4
705         01 52 41.6  +36 08 40     13.6      1.20 0.3
706         01 51 50.7  +06 17 46     12.5      1.90 1.5
707-1       01 51 27.0  -08 30 22     13.6      1.30 0.9
707-2       01 51 27.6  -08 30 25     14.0      0.30 0.3
708         01 52 46.4  +36 09 08     12.7      3.00 2.5
709         01 52 50.6  +36 13 23     14.3      1.00 0.5
710         01 52 54.0  +36 03 12     13.7      1.30 1.2
711         01 52 27.7  +17 30 47     13.1      1.60 0.7
712         01 53 08.4  +36 49 11     12.8      1.00 0.6
713         01 55 21.6  -09 05 00     14.4      1.00 0.3
714         01 53 29.6  +36 13 17     13.1      1.50 0.4
715         01 53 12.4  -12 52 24     14.0      0.80 0.4
716         01 52 59.5  +12 42 30     12.9      1.80 0.8
717         01 53 55.0  +36 13 47     13.9      1.30 0.2
718         01 53 13.0  +04 11 44     11.7      2.30 2.2
719         01 53 38.8  +19 50 27     13.2      1.40 1.1
720         01 53 00.4  -13 44 19     10.2      4.70 2.4
721         01 54 45.4  +39 22 59     13.5      1.70 1.0
722         01 54 46.9  +20 41 54     13.4      1.70 0.5
723         01 53 45.6  -23 45 26     12.5      1.50 1.3
724         01 53 45.6  -23 45 26     12.5      1.50 1.3
725         01 52 35.3  -16 31 03     14.3      0.80 0.5
726         01 55 31.9  -10 47 58     14.3      1.20 0.6
727         01 53 49.3  -35 51 21     13.9      1.10 0.6
729         01 53 49.3  -35 51 21     13.9      1.10 0.6
731         01 54 55.9  -09 00 41     12.1      1.70 1.7
732         01 56 27.7  +36 48 08     13.5      1.40 1.0
734         01 53 28.7  -16 59 44     14.6      0.70 0.5
735         01 56 38.2  +34 10 39     13.3      1.80 0.8
736         01 56 41.0  +33 02 40     12.1      1.50 1.5
738         01 56 45.6  +33 03 32     14.9      0.40 0.2
739         01 56 54.6  +33 16 02     13.9      0.90 0.6
740         01 56 55.0  +33 00 56     14.0      1.40 0.3
741         01 56 20.9  +05 37 43     11.1      3.00 2.9
742         01 56 24.1  +05 37 33     14.3      0.30 0.3
745-1       01 54 07.8  -56 41 37     12.5      1.30 0.8
745-2       01 54 11.4  -56 41 07     14.0      0.70 0.3
745-3       01 54 07.7  -56 41 15     15.0      0.20 0.2
746         01 57 51.0  +44 55 06     12.9      1.70 1.0
747         01 57 30.4  -09 27 46     13.7      1.00 0.5
748         01 56 21.8  -04 28 02     12.6      2.30 1.1
749         01 55 40.9  -29 55 20     12.2      1.90 1.4
750         01 57 32.6  +33 12 35     11.9      1.60 1.3
751         01 57 33.1  +33 12 09     12.5      1.20 1.2
753         01 57 42.4  +35 54 57     12.3      3.00 1.9
754         01 54 20.8  -56 45 40     14.2      0.60 0.5
755         01 56 22.6  -09 03 45     12.6      3.30 1.1
756         01 54 29.0  -16 42 27     14.5      0.80 0.5
757         01 54 55.9  -09 00 41     12.1      1.70 1.7
758         01 55 42.1  -03 03 58     14.4      0.90 0.7
759         01 57 50.3  +36 20 35     12.7      1.40 1.4
761         01 57 49.6  +33 22 35     13.5      1.40 0.5
762         01 56 57.9  -05 24 08     13.0      1.40 1.2
763         01 56 22.6  -09 03 45     12.6      3.30 1.1
765         01 58 48.1  +24 53 32     12.8      2.80 2.8
766         01 58 42.0  +08 20 50     12.7      2.00 2.0
767         01 58 50.8  -09 35 14     14.5      1.10 0.4
768         01 58 40.8  +00 31 44     13.2      1.70 0.8
769         01 59 35.8  +30 54 35     12.9      0.80 0.5
770         01 59 13.5  +18 57 18     12.8      1.10 0.8
772         01 59 19.5  +19 00 27     10.3      7.20 4.3
773         01 58 51.9  -11 30 55     13.1      1.40 0.8
774         01 59 34.7  +14 00 30     13.0      1.50 1.2
775         01 58 32.5  -26 17 38     12.6      1.70 1.2
776         01 59 54.6  +23 38 39     12.4      1.70 1.7
777         02 00 14.8  +31 25 47     11.5      2.50 2.0
778         02 00 19.4  +31 18 47     13.2      1.10 0.5
779         01 59 42.6  -05 57 51     11.2      4.10 1.2
780         02 00 35.1  +28 13 33     13.8      1.30 0.9
781         02 00 08.8  +12 39 20     13.1      1.50 0.4
782         01 57 40.1  -57 47 27     11.9      2.40 2.1
783         02 01 06.6  +31 52 55     12.2      1.60 1.4
784         02 01 17.1  +28 50 17     11.7      6.60 1.6
785         02 01 40.0  +31 49 36     13.0      1.50 1.1
786         02 01 24.6  +15 38 46     13.4      0.70 0.6
787         02 00 48.6  -09 00 09     12.9      2.50 1.9
788         02 01 06.4  -06 48 56     12.1      1.60 1.4
789         02 02 26.0  +32 04 20     13.5      1.20 0.8
790         02 01 21.6  -05 22 14     13.0      1.30 1.3
791         02 01 44.2  +08 29 59     13.3      1.60 1.6
792         02 02 15.3  +15 42 44     13.1      1.70 1.1
794         02 02 29.4  +18 22 22     12.7      1.30 1.1
795         01 59 49.3  -55 49 28     13.2      1.20 0.7
797         02 03 27.9  +38 07 03     12.7      1.60 1.3
798         02 03 19.6  +32 04 39     13.5      1.20 0.5
799         02 02 12.2  -00 06 01     13.4      2.00 1.7
800         02 02 11.8  -00 07 51     13.1      1.00 0.9
801         02 03 44.9  +38 15 34     13.1      3.10 0.7
802         01 59 06.1  -67 52 13     13.2      0.90 0.6
803         02 03 44.8  +16 01 52     12.6      3.00 1.3
804         02 04 02.2  +30 49 57     13.7      1.40 0.3
805         02 04 29.5  +28 48 46     13.5      1.10 0.7
806-1       02 03 31.2  -09 55 58     13.9      1.20 0.4
806-2       02 03 32.4  -09 55 46     14.7      0.40 0.2
807         02 04 55.5  +28 59 16     12.5      1.80 1.3
808         02 03 56.5  -23 18 44     13.5      1.20 0.6
809         02 04 18.9  -08 44 06     13.8      1.20 0.9
810-1       02 05 28.6  +13 15 04     13.9      1.70 1.3
810-2       02 05 29.4  +13 15 04     15.5      0.20 0.1
811         02 04 30.0  -09 06 21     14.3      0.60 0.5
812         02 06 51.7  +44 34 21     11.3      2.20 0.8
813         02 01 36.1  -68 26 21     12.8      1.30 0.9
814         02 10 37.6  -15 46 24     13.8      1.40 0.6
815         02 10 39.4  -15 48 46     15.5      0.40 0.2
816         02 08 08.8  +29 15 23     14.3      0.40 0.4
817         02 07 33.6  +17 12 07     13.3      0.70 0.3
818         02 08 44.4  +38 46 38     12.5      2.90 1.2
819         02 08 34.5  +29 14 05     13.5      0.60 0.4
820         02 08 24.9  +14 20 59     12.8      1.40 0.8
821         02 08 21.0  +10 59 39     10.7      2.40 1.7
822         02 06 39.2  -41 09 25     13.2      1.10 0.6
823         02 07 20.0  -25 26 30     12.8      1.70 1.3
824         02 06 53.2  -36 27 12     13.1      1.40 1.2
825         02 08 32.4  +06 19 24     13.2      2.00 0.5
826-1       02 09 25.1  +30 44 22     13.9      0.80 0.7
826-2       02 09 24.8  +30 44 37     15.2      0.30 0.1
827         02 08 56.3  +07 58 18     12.8      2.00 0.6
828         02 10 09.5  +39 11 28     12.3      2.50 1.6
829         02 08 42.2  -07 47 25     13.5      1.10 0.6
830         02 08 58.7  -07 46 03     13.3      1.40 0.9
831         02 09 34.5  +06 05 48     14.5      0.40 0.3
833         02 09 20.8  -10 07 58     12.7      1.50 0.7
834         02 11 01.2  +37 39 58     13.1      1.10 0.5
835         02 09 24.6  -10 08 07     12.1      1.30 1.1
836         02 10 24.8  -22 03 18     13.4      1.20 0.9
837         02 10 16.1  -22 25 53     14.0      0.90 0.4
838         02 09 38.4  -10 08 45     13.0      1.20 0.9
839         02 09 42.9  -10 11 00     13.1      1.40 0.7
840         02 10 16.1  +07 50 45     13.4      1.80 1.0
841         02 11 17.4  +37 29 51     12.6      1.80 1.0
842         02 09 50.7  -07 45 45     12.7      1.60 0.8
844         02 10 14.3  +06 03 00     14.1      0.40 0.4
845         02 12 19.7  +37 28 39     13.5      1.70 0.4
846         02 12 12.1  +44 34 05     12.1      1.90 1.7
847         02 12 12.1  +44 34 05     12.1      1.90 1.7
848         02 10 17.4  -10 19 14     13.0      1.50 1.0
849         02 10 11.2  -22 19 23     14.3      0.50 0.3
850         02 11 13.5  -01 29 06     12.9      1.20 1.1
851         02 11 12.2  +03 46 47     13.5      1.00 0.6
852         02 08 55.2  -56 44 12     13.4      1.30 1.1
853         02 11 41.0  -09 18 19     12.8      1.60 1.4
854         02 11 30.6  -35 50 08     12.9      1.80 0.6
855         02 14 03.7  +27 52 40     12.6      2.60 1.0
856         02 13 38.4  -00 43 00     13.2      1.30 0.9
857         02 12 37.0  -31 56 40     12.7      1.50 1.3
858-1       02 12 30.2  -22 28 17     13.7      1.30 1.1
858-2       02 12 33.7  -22 28 10     15.7      0.30 0.1
859         02 13 38.4  -00 43 00     13.2      1.30 0.9
860         02 15 00.1  +30 46 46     14.3      0.50 0.3
861         02 15 51.1  +35 54 50     13.8      1.50 0.5
862         02 13 02.8  -42 02 01     11.8      0.80 0.8
863         02 14 33.5  -00 45 58     12.9      1.10 1.0
864         02 15 27.5  +06 00 07     10.9      4.70 3.5
865         02 16 15.1  +28 36 03     13.2      1.50 0.4
866         02 14 33.5  -00 45 58     12.9      1.10 1.0
867         02 17 04.8  +01 14 41     12.9      1.20 1.1
868         02 15 58.5  -00 42 46     13.9      1.30 1.0
870         02 17 09.1  +14 31 22     15.5      0.30 0.3
871         02 17 10.6  +14 32 51     13.6      1.10 0.5
872         02 15 25.2  -17 46 55     13.7      1.50 0.5
873         02 16 32.3  -11 20 55     12.6      1.60 1.3
874         02 16 02.1  -23 18 21     14.2      0.90 0.5
875         02 17 04.8  +01 14 41     12.9      1.20 1.1
876         02 17 53.2  +14 31 16     14.7      2.00 0.4
877         02 17 59.7  +14 32 38     11.9      2.40 1.9
878         02 17 54.2  -23 23 04     13.8      0.80 0.5
879         02 16 51.3  -08 57 49     14.7      0.70 0.6
880         02 18 27.2  -04 12 19     14.6      0.40 0.3
881         02 18 45.3  -06 38 22     12.4      2.30 1.5
882         02 19 39.8  +15 48 53     13.6      1.20 0.6
883         02 19 05.2  -06 47 26     12.6      1.20 1.1
885         02 14 33.5  -00 45 58     12.9      1.10 1.0
887         02 19 32.6  -16 04 09     12.7      2.00 1.6
888         02 17 27.1  -59 51 38     13.0      0.80 0.8
889         02 19 06.8  -41 44 57     13.3      1.00 0.9
890         02 22 01.0  +33 15 59     11.2      2.50 1.7
891         02 22 33.0  +42 20 50      9.9      11.70 1.6
892         02 20 52.0  -23 06 49     14.7      0.60 0.4
893         02 19 58.1  -41 24 10     12.7      1.30 1.1
